Time,Commanded,Actual
26.982,-0.4253367387110181,-0.42511886365190127
26.985,-0.4253367387110181,-0.42516040341244543
26.988,-0.42568580456141697,-0.42519979870629226
26.991,-0.42568580456141697,-0.42524155589335755
26.994,-0.42568580456141697,-0.4252864549883113
26.997,-0.42568580456141697,-0.425332417768994
27.0,-0.42568580456141697,-0.42537783158860065
27.003,-0.42568580456141697,-0.42542148568889915
27.006,-0.42568580456141697,-0.4254625108678245
27.009,-0.42603487041181587,-0.42550290232991084
27.012,-0.42603487041181587,-0.4255467756996457
27.015,-0.42603487041181587,-0.425594580602999
27.018,-0.42603487041181587,-0.4256439641073181
27.021,-0.42603487041181587,-0.42569308933610095
27.024,-0.42603487041181587,-0.42574056633599056
27.027,-0.42603487041181587,-0.42578538626977913
27.03,-0.4263839362622147,-0.42582943893245007
27.033,-0.4263839362622147,-0.4258767636944509
27.036,-0.4263839362622147,-0.4259277583640703
27.039,-0.4263839362622147,-0.425980038314641
27.042,-0.4263839362622147,-0.4260317512233219
27.045,-0.4263839362622147,-0.4260815045089072
27.048,-0.4263839362622147,-0.42612829653693324
27.051,-0.42673300211261356,-0.42617403157187345
27.054,-0.42673300211261356,-0.4262227685549686
27.057,-0.42673300211261356,-0.42627492816827744
27.06,-0.42673300211261356,-0.4263281504960173
27.063,-0.42673300211261356,-0.42638060859375687
27.066,-0.42673300211261356,-0.4264309350166179
27.069,-0.42673300211261356,-0.42647815233946235
27.072,-0.4270820679630124,-0.42652418761536065
27.075,-0.4270820679630124,-0.42657312081975546
27.078,-0.4270820679630124,-0.42662539171248637
27.081,-0.4270820679630124,-0.42667865740323546
27.084,-0.4270820679630124,-0.42673110590840685
27.087,-0.4270820679630124,-0.42678138273097227
27.09,-0.4270820679630124,-0.42682852147943817
27.093,-0.4276056667386107,-0.42687574788191623
27.096,-0.4276056667386107,-0.42692938191195046
27.099,-0.4276056667386107,-0.4269901744893742
27.102,-0.4276056667386107,-0.4270546171339767
27.105,-0.4276056667386107,-0.4271199325572137
27.108,-0.4276056667386107,-0.4271839818698521
27.111,-0.4276056667386107,-0.42724517511538684
27.114,-0.4279547325890096,-0.4273049658254901
27.117,-0.4279547325890096,-0.42736708021303965
27.12,-0.4279547325890096,-0.4274317058478927
27.123,-0.4279547325890096,-0.4274963323837237
27.126,-0.4279547325890096,-0.4275590497992579
27.129,-0.4279547325890096,-0.42761846127381076
27.132,-0.4279547325890096,-0.4276736017329184
27.135,-0.42830379843940847,-0.42772644196289944
27.138,-0.42830379843940847,-0.42778112825746645
27.141,-0.42830379843940847,-0.42783818191872386
27.144,-0.42830379843940847,-0.42789535077209
27.147,-0.42830379843940847,-0.4279509178485545
27.15,-0.42830379843940847,-0.428003624128634
27.153,-0.42830379843940847,-0.4280525962291253
27.156,-0.42865286428980737,-0.4280998588352955
27.159,-0.42865286428980737,-0.42814958179277046
27.162,-0.42865286428980737,-0.42820228617006145
27.165,-0.42865286428980737,-0.42825570146871755
27.168,-0.42865286428980737,-0.4283080791733842
27.171,-0.42865286428980737,-0.42835811959016684
27.174,-0.42865286428980737,-0.4284049029183556
27.177,-0.42917646306540563,-0.42845169385166326
27.18,-0.42917646306540563,-0.4285048443761331
27.183,-0.42917646306540563,-0.4285651311878226
27.186,-0.42917646306540563,-0.4286290660761562
27.189,-0.42917646306540563,-0.42869388723354607
27.192,-0.42917646306540563,-0.42875746715076885
27.195,-0.42917646306540563,-0.4288182237948328
27.198,-0.42970006184100396,-0.428878905180778
27.201,-0.42970006184100396,-0.42894547262889016
27.204,-0.42970006184100396,-0.42901841959100423
27.207,-0.42970006184100396,-0.42909406471416545
27.21,-0.42970006184100396,-0.42916952730994123
27.213,-0.42970006184100396,-0.4292426210031796
27.216,-0.42970006184100396,-0.42931175229682494
27.219,-0.4298745947662034,-0.42937711529854167
27.222,-0.4298745947662034,-0.4294402584772136
27.225,-0.4298745947662034,-0.4295011361589825
27.228,-0.4298745947662034,-0.4295584911177053
27.231,-0.4298745947662034,-0.42961147089551205
27.234,-0.4298745947662034,-0.4296595561934332
27.237,-0.4298745947662034,-0.42970249654215753
27.24,-0.43039819354180164,-0.4297441216845241
27.243,-0.43039819354180164,-0.4297912526146304
27.246,-0.43039819354180164,-0.42984504810397417
27.249,-0.43039819354180164,-0.4299023245839519
27.252,-0.43039819354180164,-0.4299605569711633
27.255,-0.43039819354180164,-0.43001779580985444
27.258,-0.43039819354180164,-0.43007258721920955
27.261,-0.43092179231739997,-0.43012776561201344
27.264,-0.43092179231739997,-0.43018934438430123
27.267,-0.43092179231739997,-0.43025784141088635
27.27,-0.43092179231739997,-0.43032957800047483
27.273,-0.43092179231739997,-0.43040165949056025
27.276,-0.43092179231739997,-0.43047187328758746
27.279,-0.43092179231739997,-0.43053859113480253
27.282,-0.43144539109299823,-0.4306045457564885
27.285,-0.43144539109299823,-0.4306757071693854
27.288,-0.43144539109299823,-0.43075259551543815
27.291,-0.43144539109299823,-0.43083156903352654
27.294,-0.43144539109299823,-0.430909795273323
27.297,-0.43144539109299823,-0.43098514125078324
27.3,-0.43144539109299823,-0.4310560692028328
27.303,-0.4317944569433972,-0.4311241185305504
27.306,-0.4317944569433972,-0.4311931244009925
27.309,-0.4317944569433972,-0.4312633976824706
27.312,-0.4317944569433972,-0.4313325585972993
27.315,-0.4317944569433972,-0.4313988293658687
27.318,-0.4317944569433972,-0.43146094277414965
27.321,-0.4317944569433972,-0.43151805751942907
27.324,-0.4323180557189954,-0.43157354948654103
27.327,-0.4323180557189954,-0.43163390344132846
27.33,-0.4323180557189954,-0.4317000413615417
27.333,-0.4323180557189954,-0.4317686255370728
27.336,-0.4323180557189954,-0.4318370441839983
27.339,-0.4323180557189954,-0.43190331502057266
27.342,-0.4323180557189954,-0.43196599330042906
27.345,-0.4328416544945937,-0.43202795422642815
27.348,-0.4328416544945937,-0.4320952748644293
27.351,-0.4328416544945937,-0.43216855228557294
27.354,-0.4328416544945937,-0.43224419646785245
27.357,-0.4328416544945937,-0.4323194060052388
27.36,-0.4328416544945937,-0.43239206229495275
27.363,-0.4328416544945937,-0.43246062885214487
27.366,-0.43336525327019204,-0.4325279257727874
27.369,-0.43336525327019204,-0.43260000451545244
27.372,-0.43336525327019204,-0.4326774597454683
27.375,-0.43336525327019204,-0.4327567167589324
27.378,-0.43336525327019204,-0.43283500250047274
27.381,-0.43336525327019204,-0.43291023579597093
27.384,-0.43336525327019204,-0.43298092339015903
27.387,-0.43371431912059094,-0.43304864232084267
27.39,-0.43371431912059094,-0.4331172590517313
27.393,-0.43371431912059094,-0.4331871099990913
27.396,-0.43371431912059094,-0.4332558358043206
27.399,-0.43371431912059094,-0.43332167460118326
27.402,-0.43371431912059094,-0.433383371190597
27.405,-0.43371431912059094,-0.43344009296362174
27.408,-0.43423791789618915,-0.43349522171503946
27.411,-0.43423791789618915,-0.4335552458279225
27.414,-0.43423791789618915,-0.4336210890459445
27.417,-0.43423791789618915,-0.43368941396416977
27.42,-0.43423791789618915,-0.4337576079834186
27.423,-0.43423791789618915,-0.43382368717830355
27.426,-0.43423791789618915,-0.43388620457711186
27.429,-0.4347615166717875,-0.43394803278053096
27.432,-0.4347615166717875,-0.434015246042437
27.435,-0.4347615166717875,-0.43408843854545065
27.438,-0.4347615166717875,-0.43416401740617305
27.441,-0.4347615166717875,-0.4342391784623812
27.444,-0.4347615166717875,-0.4343118005165908
27.447,-0.4347615166717875,-0.434380344688794
27.45,-0.4352851154473858,-0.4344476289024093
